SPECIES_CODE,COMMON_NAME_ZH_CN,COMMON_NAME_US
ostric2,Common Ostrich,Common Ostrich
ostric3,Somali Ostrich,Somali Ostrich
y00934,Common/Somali Ostrich,Common/Somali Ostrich
soucas1,Southern Cassowary,Southern Cassowary
dwacas1,Dwarf Cassowary,Dwarf Cassowary
norcas1,Northern Cassowary,Northern Cassowary
emu1,Emu,Emu
sobkiw1,Southern Brown Kiwi,Southern Brown Kiwi
sobkiw2,Southern Brown Kiwi (South I.),Southern Brown Kiwi (South I.)
sobkiw3,Southern Brown Kiwi (Stewart I.),Southern Brown Kiwi (Stewart I.)
okbkiw1,Okarito Kiwi,Okarito Brown Kiwi
nibkiw1,North Island Brown Kiwi,North Island Brown Kiwi
x01217,Southern Brown x North Island Brown Kiwi (hybrid),Southern Brown x North Island Brown Kiwi (hybrid)
liskiw1,Little Spotted Kiwi,Little Spotted Kiwi
x01059,Okarito Brown x Little Spotted Kiwi (hybrid),Okarito Brown x Little Spotted Kiwi (hybrid)
grskiw1,Great Spotted Kiwi,Great Spotted Kiwi
kiwi1,kiwi sp.,kiwi sp.
grerhe1,Greater Rhea,Greater Rhea
lesrhe2,Lesser Rhea,Lesser Rhea
lesrhe4,Lesser Rhea (Puna),Lesser Rhea (Puna)
lesrhe3,Lesser Rhea (Darwin's),Lesser Rhea (Darwin's)
puntin1,Puna Tinamou,Puna Tinamou
pattin1,Patagonian Tinamou,Patagonian Tinamou
quctin1,Quebracho Crested Tinamou,Quebracho Crested-Tinamou
elctin1,Elegant Crested Tinamou,Elegant Crested-Tinamou
elecrt11,Elegant Crested Tinamou (Northern),Elegant Crested-Tinamou (Northern)
elecrt12,Elegant Crested Tinamou (Southern),Elegant Crested-Tinamou (Southern)
dwatin1,Dwarf Tinamou,Dwarf Tinamou
whbnot1,White-bellied Nothura,White-bellied Nothura
lesnot1,Lesser Nothura,Lesser Nothura
darnot1,Darwin's Nothura,Darwin's Nothura
sponot1,Spotted Nothura,Spotted Nothura
y01225,White-bellied/Spotted Nothura,White-bellied/Spotted Nothura
y01226,Lesser/Spotted Nothura,Lesser/Spotted Nothura
y01375,Darwin's/Spotted Nothura,Darwin's/Spotted Nothura
huatin1,Huayco Tinamou,Huayco Tinamou
rewtin1,Red-winged Tinamou,Red-winged Tinamou
brutin1,Brushland Tinamou,Brushland Tinamou
andtin1,Andean Tinamou,Andean Tinamou
andtin10,Andean Tinamou (Northern),Andean Tinamou (Northern)
andtin11,Andean Tinamou (Southern),Andean Tinamou (Southern)
cubtin1,Curve-billed Tinamou,Curve-billed Tinamou
orntin1,Ornate Tinamou,Ornate Tinamou
tactin1,Taczanowski's Tinamou,Taczanowski's Tinamou
chitin1,Chilean Tinamou,Chilean Tinamou
nothop1,Nothoprocta sp.,Nothoprocta sp.
tabtin1,Tawny-breasted Tinamou,Tawny-breasted Tinamou
hootin1,Hooded Tinamou,Hooded Tinamou
higtin1,Highland Tinamou,Highland Tinamou
higtin3,Highland Tinamou (Costa Rican),Highland Tinamou (Costa Rican)
higtin2,Highland Tinamou (South American),Highland Tinamou (South American)
gretin1,Great Tinamou,Great Tinamou
soltin1,Solitary Tinamou,Solitary Tinamou
grytin1,Grey Tinamou,Gray Tinamou
whttin1,White-throated Tinamou,White-throated Tinamou
blatin1,Black Tinamou,Black Tinamou
blktin1,Black Tinamou (Colombian),Black Tinamou (Colombian)
blktin2,Black Tinamou (Peruvian),Black Tinamou (Peruvian)
tinamu1,Tinamus sp.,Tinamus sp.
bertin1,Berlepsch's Tinamou,Berlepsch's Tinamou
cintin1,Cinereous Tinamou,Cinereous Tinamou
teptin1,Tepui Tinamou,Tepui Tinamou
smbtin1,Small-billed Tinamou,Small-billed Tinamou
tattin1,Tataupa Tinamou,Tataupa Tinamou
brotin1,Brown Tinamou,Brown Tinamou
brntin11,Brown Tinamou (Venezuelan),Brown Tinamou (Venezuelan)
brntin1,Brown Tinamou (Ecuadorian),Brown Tinamou (Ecuadorian)
brntin2,Brown Tinamou (Andean),Brown Tinamou (Andean)
brntin8,Brown Tinamou (Amazonian),Brown Tinamou (Amazonian)
brntin10,Brown Tinamou (Atlantic),Brown Tinamou (Atlantic)
vartin1,Variegated Tinamou,Variegated Tinamou
bartin2,Bartlett's Tinamou,Bartlett's Tinamou
bartin1,Barred Tinamou,Barred Tinamou
rustin1,Rusty Tinamou,Rusty Tinamou
littin1,Little Tinamou,Little Tinamou
undtin1,Undulated Tinamou,Undulated Tinamou
yeltin1,Yellow-legged Tinamou,Yellow-legged Tinamou
yeltin2,Yellow-legged Tinamou (zabele),Yellow-legged Tinamou (zabele)
yeltin3,Yellow-legged Tinamou (noctivagus),Yellow-legged Tinamou (noctivagus)
blctin1,Black-capped Tinamou,Black-capped Tinamou
pabtin1,Pale-browed Tinamou,Pale-browed Tinamou
thitin1,Thicket Tinamou,Thicket Tinamou
thitin2,Thicket Tinamou (occidentalis),Thicket Tinamou (occidentalis)
thitin3,Thicket Tinamou (cinnamomeus Group),Thicket Tinamou (cinnamomeus Group)
slbtin1,Slaty-breasted Tinamou,Slaty-breasted Tinamou
chotin1,Choco Tinamou,Choco Tinamou
reltin1,Red-legged Tinamou,Red-legged Tinamou
gyltin1,Grey-legged Tinamou,Gray-legged Tinamou
bratin1,Brazilian Tinamou,Brazilian Tinamou
sddtin1,Serra do Divisor Tinamou (undescribed form),Serra do Divisor Tinamou (undescribed form)
cryptu1,Crypturellus sp.,Crypturellus sp.
tinamo1,tinamou sp.,tinamou sp.
horscr1,Horned Screamer,Horned Screamer
souscr1,Southern Screamer,Southern Screamer
norscr1,Northern Screamer,Northern Screamer
maggoo1,Magpie Goose,Magpie Goose
spwduc1,Spotted Whistling Duck,Spotted Whistling-Duck
plwduc1,Plumed Whistling Duck,Plumed Whistling-Duck
wfwduc1,White-faced Whistling Duck,White-faced Whistling-Duck
x00721,Spotted x White-faced Whistling Duck (hybrid),Spotted x White-faced Whistling-Duck (hybrid)
x01218,Plumed x White-faced Whistling Duck (hybrid),Plumed x White-faced Whistling-Duck (hybrid)
bbwduc,Black-bellied Whistling Duck,Black-bellied Whistling-Duck
bkbwhd1,Black-bellied Whistling Duck (Northern),Black-bellied Whistling-Duck (Northern)
bkbwhd2,Black-bellied Whistling Duck (Southern),Black-bellied Whistling-Duck (Southern)
x01141,White-faced x Black-bellied Whistling Duck (hybrid),White-faced x Black-bellied Whistling-Duck (hybrid)
wiwduc1,West Indian Whistling Duck,West Indian Whistling-Duck
x00775,Black-bellied x West Indian Whistling Duck (hybrid),Black-bellied x West Indian Whistling-Duck (hybrid)
fuwduc,Fulvous Whistling Duck,Fulvous Whistling-Duck
x00938,White-faced x Fulvous Whistling Duck (hybrid),White-faced x Fulvous Whistling-Duck (hybrid)
x00875,Black-bellied x Fulvous Whistling Duck (hybrid),Black-bellied x Fulvous Whistling-Duck (hybrid)
wawduc1,Wandering Whistling Duck,Wandering Whistling-Duck
x00990,Plumed x Wandering Whistling Duck (hybrid),Plumed x Wandering Whistling-Duck (hybrid)
y01227,Plumed/Wandering Whistling Duck,Plumed/Wandering Whistling-Duck
lewduc1,栗树鸭,Lesser Whistling-Duck
y01080,Fulvous/Lesser Whistling Duck,Fulvous/Lesser Whistling-Duck
x00360,Wandering x Lesser Whistling Duck (hybrid),Wandering x Lesser Whistling-Duck (hybrid)
whistl1,whistling duck sp.,whistling-duck sp.
whbduc1,White-backed Duck,White-backed Duck
bahgoo,斑头雁,Bar-headed Goose
empgoo,帝雁,Emperor Goose
snogoo,雪雁,Snow Goose
x00991,斑头雁x雪雁 (杂交),Bar-headed x Snow Goose (hybrid)
x01176,帝雁x雪雁 (杂交),Emperor x Snow Goose (hybrid)
rosgoo,Ross's Goose,Ross's Goose
sxrgoo1,Snow x Ross's Goose (hybrid),Snow x Ross's Goose (hybrid)
y00469,Snow/Ross's Goose,Snow/Ross's Goose
gragoo,灰雁,Graylag Goose
gragoo2,灰雁 (欧洲),Graylag Goose (European)
gragoo3,灰雁 (西伯利亚),Graylag Goose (Siberian)
gragoo1,灰雁 (驯养型),Graylag Goose (Domestic type)
x00992,斑头雁x灰雁 (杂交),Bar-headed x Graylag Goose (hybrid)
x01119,帝雁x灰雁 (杂交),Emperor x Graylag Goose (hybrid)
swagoo1,鸿雁,Swan Goose
swagoo2,鸿雁 (驯养型),Swan Goose (Domestic type)
x01143,斑头雁x鸿雁 (杂交),Bar-headed x Swan Goose (hybrid)
x01144,雪雁x鸿雁 (杂交),Snow x Swan Goose (hybrid)
x01142,斑头雁x雪雁x鸿雁 (杂交),Bar-headed x Snow x Swan Goose (hybrid)
x00776,灰雁x鸿雁 (杂交),Graylag x Swan Goose (hybrid)
gwfgoo,白额雁,Greater White-fronted Goose
gwfgoo1,白额雁 (flavirostris),Greater White-fronted Goose (Greenland)
gwfgoo4,白额雁 (欧亚),Greater White-fronted Goose (Eurasian)
gwfgoo2,白额雁 (北美),Greater White-fronted Goose (Western)
gwfgoo3,白额雁 (elgasi),Greater White-fronted Goose (Tule)
x00755,斑头雁x白额雁 (杂交),Bar-headed x Greater White-fronted Goose (hybrid)
x00361,帝雁x白额雁 (杂交),Emperor x Greater White-fronted Goose (hybrid)
x00627,雪雁x白额雁 (杂交),Snow x Greater White-fronted Goose (hybrid)
x00362,Ross's x Greater White-fronted Goose (hybrid),Ross's x Greater White-fronted Goose (hybrid)
x01145,灰雁x白额雁 (杂交),Graylag x Greater White-fronted Goose (hybrid)
lwfgoo,小白额雁,Lesser White-fronted Goose
y00707,白额雁/小白额雁,Greater/Lesser White-fronted Goose
taibeg1,豆雁,Taiga Bean-Goose
taibeg5,豆雁 (欧亚),Taiga Bean-Goose (Western)
taibeg4,豆雁 (东亚),Taiga Bean-Goose (Eastern)
tunbeg1,短嘴豆雁,Tundra Bean-Goose
x01089,白额雁x短嘴豆雁 (杂交),Greater White-fronted Goose x Tundra Bean-Goose (hybrid)
y00468,豆雁/短嘴豆雁,Taiga/Tundra Bean-Goose
pifgoo,Pink-footed Goose,Pink-footed Goose
domgoo1,驯养型的Anser属雁 (家鹅),Domestic goose sp. (Domestic type)
anser1,未识别的Anser属雁,Anser sp.
brant,黑雁,Brant
dabbra1,黑雁 (暗腹),Brant (Dark-bellied)
atlbra1,黑雁 (白腹),Brant (Pale-bellied)
blkbra1,黑雁 (黑腹),Brant (Black)
gybbra1,黑雁 (Gray-bellied),Brant (Gray-bellied)
brant2,黑雁 (暗腹x黑腹，杂交),Brant (Dark-bellied x Black)
brant1,黑雁 (白腹x黑腹，杂交),Brant (Pale-bellied x Black)
x00685,雪雁x黑雁 (杂交),Snow Goose x Brant (hybrid)
bargoo,白颊黑雁,Barnacle Goose
x00363,斑头雁x白颊黑雁 (杂交),Bar-headed x Barnacle Goose (hybrid)
x00993,帝雁x白颊黑雁 (杂交),Emperor x Barnacle Goose (hybrid)
x00994,雪雁x白颊黑雁 (杂交),Snow x Barnacle Goose (hybrid)
x00995,Ross's x Barnacle Goose (hybrid),Ross's x Barnacle Goose (hybrid)
x00649,灰雁x白颊黑雁 (杂交),Graylag x Barnacle Goose (hybrid)
x00757,白额雁x白颊黑雁 (杂交),Greater White-fronted x Barnacle Goose (hybrid)
x00364,小白额雁x白颊黑雁 (杂交),Lesser White-fronted x Barnacle Goose (hybrid)
x00756,Pink-footed x Barnacle Goose (hybrid),Pink-footed x Barnacle Goose (hybrid)
cacgoo1,小美洲黑雁,Cackling Goose
alcgoo1,小美洲黑雁 (阿留申，白颈环),Cackling Goose (Aleutian)
ricgoo1,小美洲黑雁 (hutchinsii),Cackling Goose (Richardson's)
cacgoo2,小美洲黑雁 (阿拉斯加，色深),Cackling Goose (minima)
tacgoo1,小美洲黑雁 (taverneri),Cackling Goose (Taverner's)
x00831,帝雁x小美洲黑雁 (杂交),Emperor x Cackling Goose (hybrid)
x00692,雪雁x小美洲黑雁 (杂交),Snow x Cackling Goose (hybrid)
x00694,Ross's x Cackling Goose (hybrid),Ross's x Cackling Goose (hybrid)
x00722,黑雁x小美洲黑雁 (杂交),Brant x Cackling Goose (hybrid)
x00414,白额雁x小美洲黑雁 (杂交),Greater White-fronted x Cackling Goose (hybrid)
x00416,白颊黑雁x小美洲黑雁 (杂交),Barnacle x Cackling Goose (hybrid)
cangoo,加拿大黑雁,Canada Goose
cangoo4,加拿大黑雁 (moffitti/maxima),Canada Goose (moffitti/maxima)
cangoo3,加拿大黑雁 (occidentalis/fulva),Canada Goose (occidentalis/fulva)
cangoo1,加拿大黑雁 (极北),Canada Goose (canadensis Group)
x00908,斑头雁x加拿大黑雁 (杂交),Bar-headed x Canada Goose (hybrid)
swagoo3,鸿雁x加拿大黑雁 (杂交),Swan x Canada Goose (hybrid)
x00650,Pink-footed x Canada Goose (hybrid),Pink-footed x Canada Goose (hybrid)
x00415,白额雁x加拿大黑雁 (杂交),Greater White-fronted x Canada Goose (hybrid)
x01088,白额雁x小美洲黑雁/加拿大黑雁 (杂交),Greater White-fronted x Cackling/Canada Goose (hybrid)
x00758,灰雁x加拿大黑雁 (杂交),Graylag x Canada Goose (hybrid)
x00759,驯养型的Anser属雁x加拿大黑雁 (杂交),Domestic goose sp. x Canada Goose (hybrid)
x00197,雪雁x加拿大黑雁 (杂交),Snow x Canada Goose (hybrid)
x00693,Ross's x Canada Goose (hybrid),Ross's x Canada Goose (hybrid)
x00417,白颊黑雁x加拿大黑雁 (杂交),Barnacle x Canada Goose (hybrid)
y00470,小美洲黑雁/加拿大黑雁,Cackling/Canada Goose
y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),Snow/Ross's x Cackling/Canada Goose (hybrid)
hawgoo,Nene,Hawaiian Goose
x01139,Barnacle x Nene (hybrid),Barnacle x Hawaiian Goose (hybrid)
rebgoo1,红胸黑雁,Red-breasted Goose
x00939,白额雁x红胸黑雁 (杂交),Greater White-fronted x Red-breasted Goose (hybrid)
x00996,黑雁x红胸黑雁 (杂交),Brant x Red-breasted Goose (hybrid)
x00365,白颊黑雁x红胸黑雁 (杂交),Barnacle x Red-breasted Goose (hybrid)
branta1,未识别的Branta属黑雁,Branta sp.
cabgoo1,Cape Barren Goose,Cape Barren Goose
freduc1,Freckled Duck,Freckled Duck
buwgoo1,Blue-winged Goose,Blue-winged Goose
mutswa,疣鼻天鹅,Mute Swan
x00366,灰雁x疣鼻天鹅 (杂交),Graylag Goose x Mute Swan (hybrid)
blkswa,黑天鹅,Black Swan
x01037,疣鼻天鹅x黑天鹅 (杂交),Mute x Black Swan (hybrid)
blnswa2,Black-necked Swan,Black-necked Swan
truswa,Trumpeter Swan,Trumpeter Swan
x00832,Mute x Trumpeter Swan (hybrid),Mute x Trumpeter Swan (hybrid)
tunswa,小天鹅,Tundra Swan
tunswa1,小天鹅 (北美),Tundra Swan (Whistling)
bewswa1,小天鹅 (欧亚),Tundra Swan (Bewick's)
tunswa2,小天鹅 (北美x欧亚，杂交),Tundra Swan (Whistling x Bewick's)
x00418,Trumpeter x Tundra Swan (hybrid),Trumpeter x Tundra Swan (hybrid)
y00471,Trumpeter/Tundra Swan,Trumpeter/Tundra Swan
whoswa,大天鹅,Whooper Swan
x00997,疣鼻天鹅x大天鹅 (杂交),Mute x Whooper Swan (hybrid)
x00419,Trumpeter x Whooper Swan (hybrid),Trumpeter x Whooper Swan (hybrid)
y00708,小天鹅/大天鹅,Tundra/Whooper Swan
swan1,未识别的天鹅,swan sp.
cosswa1,Coscoroba Swan,Coscoroba Swan
comduc2,瘤鸭,Knob-billed Duck
comduc3,Comb Duck,Comb Duck
harduc1,Hartlaub's Duck,Hartlaub's Duck
origoo1,Orinoco Goose,Orinoco Goose
andgoo1,Andean Goose,Andean Goose
uplgoo1,Upland Goose,Upland Goose
uplgoo2,Upland Goose (White-breasted),Upland Goose (White-breasted)
uplgoo3,Upland Goose (Bar-breasted),Upland Goose (Bar-breasted)
kelgoo1,Kelp Goose,Kelp Goose
ashgoo1,Ashy-headed Goose,Ashy-headed Goose
ruhgoo1,Ruddy-headed Goose,Ruddy-headed Goose
x01120,Ashy-headed x Ruddy-headed Goose (hybrid),Ashy-headed x Ruddy-headed Goose (hybrid)
chloep1,Chloephaga sp.,Chloephaga sp.
goose1,未识别的雁类,goose sp.
radshe1,Radjah Shelduck,Radjah Shelduck
egygoo,埃及雁,Egyptian Goose
x01177,瘤鸭x埃及雁 (杂交),Knob-billed Duck x Egyptian Goose (hybrid)
maushe1,Mauritius Sheldgoose,Mauritius Shelduck
reushe1,Reunion Sheldgoose,Reunion Shelduck
rudshe,赤麻鸭,Ruddy Shelduck
x00367,埃及雁x赤麻鸭 (杂交),Egyptian Goose x Ruddy Shelduck (hybrid)
soashe1,South African Shelduck,South African Shelduck
ausshe1,Australian Shelduck,Australian Shelduck
parshe1,Paradise Shelduck,Paradise Shelduck
comshe,翘鼻麻鸭,Common Shelduck
x00876,赤麻鸭x翘鼻麻鸭 (杂交),Ruddy x Common Shelduck (hybrid)
creshe1,冠麻鸭,Crested Shelduck
spwgoo1,Spur-winged Goose,Spur-winged Goose
spwgoo2,Spur-winged Goose (Northern),Spur-winged Goose (Northern)
spwgoo3,Spur-winged Goose (Southern),Spur-winged Goose (Southern)
flystd1,Flying Steamer Duck,Flying Steamer-Duck
flistd1,Fuegian Steamer Duck,Flightless Steamer-Duck
flistd2,Fuegian Steamer Duck (Chiloe form),Flightless Steamer-Duck (Chiloe form)
falstd1,Falkland Steamer Duck,Falkland Steamer-Duck
falstd2,Falkland Steamer Duck (Flightless),Falkland Steamer-Duck (Flightless)
falstd3,Falkland Steamer Duck (Flying),Falkland Steamer-Duck (Flying)
whhstd1,Chubut Steamer Duck,White-headed Steamer-Duck
y01376,Flying/White-headed Steamer Duck,Flying/White-headed Steamer-Duck
steame1,steamer duck sp.,steamer-duck sp.
creduc1,Crested Duck,Crested Duck
speduc2,Bronze-winged Duck,Spectacled Duck
musduc,疣鼻栖鸭,Muscovy Duck
musduc3,疣鼻栖鸭 (驯养型),Muscovy Duck (Domestic type)
x01045,埃及雁x疣鼻栖鸭 (杂交),Egyptian Goose x Muscovy Duck (hybrid)
grnpyg1,Green Pygmy Goose,Green Pygmy-Goose
copgoo1,棉凫,Cotton Pygmy-Goose
y01228,Green/Cotton Pygmy Goose,Green/Cotton Pygmy-Goose
afrpyg1,African Pygmy Goose,African Pygmy-Goose
rintea1,Ringed Teal,Ringed Teal
wooduc,Wood Duck,Wood Duck
x00940,Common Shelduck x Wood Duck (hybrid),Common Shelduck x Wood Duck (hybrid)
manduc,鸳鸯,Mandarin Duck
x00833,Wood x Mandarin Duck (hybrid),Wood x Mandarin Duck (hybrid)
manduc1,Maned Duck,Maned Duck
finduc1,Finsch's Duck,Finsch's Duck
bratea1,Brazilian Teal,Brazilian Teal
x01178,Wood Duck x Brazilian Teal (hybrid),Wood Duck x Brazilian Teal (hybrid)
bluduc1,Blue Duck,Blue Duck
torduc1,Torrent Duck,Torrent Duck
torduc8,Torrent Duck (Colombian),Torrent Duck (Colombian)
torduc4,Torrent Duck (Black-bellied),Torrent Duck (Black-bellied)
torduc9,Torrent Duck (Bolivian),Torrent Duck (Bolivian)
torduc7,Torrent Duck (Patagonian),Torrent Duck (Patagonian)
saltea1,Salvadori's Teal,Salvadori's Teal
baitea,花脸鸭,Baikal Teal
gargan,白眉鸭,Garganey
hottea1,Blue-billed Teal,Blue-billed Teal
siltea1,Silver Teal,Silver Teal
puntea1,Puna Teal,Puna Teal
buwtea,Blue-winged Teal,Blue-winged Teal
x01179,Baikal x Blue-winged Teal (hybrid),Baikal x Blue-winged Teal (hybrid)
cintea,Cinnamon Teal,Cinnamon Teal
cintea1,Cinnamon Teal (Northern),Cinnamon Teal (Northern)
cintea6,Cinnamon Teal (Andean),Cinnamon Teal (Andean)
cintea5,Cinnamon Teal (Southern),Cinnamon Teal (Southern)
bwxtea1,Blue-winged x Cinnamon Teal (hybrid),Blue-winged x Cinnamon Teal (hybrid)
y00314,Blue-winged/Cinnamon Teal,Blue-winged/Cinnamon Teal
redsho1,Red Shoveler,Red Shoveler
capsho1,Cape Shoveler,Cape Shoveler
aussho1,Australasian Shoveler,Australasian Shoveler
norsho,琵嘴鸭,Northern Shoveler
x00836,白眉鸭x琵嘴鸭 (杂交),Garganey x Northern Shoveler (hybrid)
x00629,Blue-winged Teal x Northern Shoveler (hybrid),Blue-winged Teal x Northern Shoveler (hybrid)
x00630,Cinnamon Teal x Northern Shoveler (hybrid),Cinnamon Teal x Northern Shoveler (hybrid)
gadwal,赤膀鸭,Gadwall
gadwal1,赤膀鸭 (广布),Gadwall (Common)
gadwal2,赤膀鸭 (couesi),Gadwall (Coues's)
x00457,琵嘴鸭x赤膀鸭 (杂交),Northern Shoveler x Gadwall (hybrid)
falduc,罗纹鸭,Falcated Duck
x00368,花脸鸭x罗纹鸭 (杂交),Baikal Teal x Falcated Duck (hybrid)
x00369,赤膀鸭x罗纹鸭 (杂交),Gadwall x Falcated Duck (hybrid)
eurwig,赤颈鸭,Eurasian Wigeon
x01219,花脸鸭x赤颈鸭 (杂交),Baikal Teal x Eurasian Wigeon (hybrid)
x01140,琵嘴鸭x赤颈鸭 (杂交),Northern Shoveler x Eurasian Wigeon (hybrid)
x00723,赤膀鸭x赤颈鸭 (杂交),Gadwall x Eurasian Wigeon (hybrid)
x01220,罗纹鸭x赤颈鸭 (杂交),Falcated Duck x Eurasian Wigeon (hybrid)
amewig,绿眉鸭,American Wigeon
x00877,Wood Duck x American Wigeon (hybrid),Wood Duck x American Wigeon (hybrid)
x00370,Blue-winged Teal x American Wigeon (hybrid),Blue-winged Teal x American Wigeon (hybrid)
x00777,琵嘴鸭x绿眉鸭 (杂交),Northern Shoveler x American Wigeon (hybrid)
x00724,赤膀鸭x绿眉鸭 (杂交),Gadwall x American Wigeon (hybrid)
x00421,赤颈鸭x绿眉鸭 (杂交),Eurasian x American Wigeon (hybrid)
y00670,赤颈鸭/绿眉鸭,Eurasian/American Wigeon
chiwig1,Chiloe Wigeon,Chiloe Wigeon
x00998,Eurasian x Chiloe Wigeon (hybrid),Eurasian x Chiloe Wigeon (hybrid)
amsduc1,Amsterdam Wigeon,Amsterdam Duck
afbduc1,African Black Duck,African Black Duck
yebduc1,Yellow-billed Duck,Yellow-billed Duck
melduc1,Meller's Duck,Meller's Duck
pabduc1,Pacific Black Duck,Pacific Black Duck
layduc,Laysan Duck,Laysan Duck
hawduc,Hawaiian Duck,Hawaiian Duck
phiduc1,棕颈鸭,Philippine Duck
isbduc1,印缅斑嘴鸭,Indian Spot-billed Duck
spbduc,斑嘴鸭,Eastern Spot-billed Duck
y00830,印缅斑嘴鸭/斑嘴鸭,Indian/Eastern Spot-billed Duck
mallar3,绿头鸭,Mallard
mallar2,绿头鸭 (驯养型),Mallard (Domestic type)
x01147,埃及雁x绿头鸭 (杂交),Egyptian Goose x Mallard (hybrid)
x01148,赤麻鸭x绿头鸭 (杂交),Ruddy Shelduck x Mallard (hybrid)
mdxmal1,疣鼻栖鸭x绿头鸭 (杂交),Muscovy Duck x Mallard (hybrid)
x00205,Wood Duck x Mallard (hybrid),Wood Duck x Mallard (hybrid)
x00612,琵嘴鸭x绿头鸭 (杂交),Northern Shoveler x Mallard (hybrid)
x00420,赤膀鸭x绿头鸭 (杂交),Gadwall x Mallard (hybrid)
x01221,罗纹鸭x绿头鸭 (杂交),Falcated Duck x Mallard (hybrid)
x00647,赤颈鸭x绿头鸭 (杂交),Eurasian Wigeon x Mallard (hybrid)
x00611,绿眉鸭x绿头鸭 (杂交),American Wigeon x Mallard (hybrid)
x01149,African Black Duck x Mallard (hybrid),African Black Duck x Mallard (hybrid)
x00760,Yellow-billed Duck x Mallard (hybrid),Yellow-billed Duck x Mallard (hybrid)
x00458,Pacific Black Duck x Mallard (hybrid),Pacific Black Duck x Mallard (hybrid)
x00423,Hawaiian Duck x Mallard (hybrid),Hawaiian Duck x Mallard (hybrid)
x00834,印缅斑嘴鸭x绿头鸭 (杂交),Indian Spot-billed Duck x Mallard (hybrid)
x00835,斑嘴鸭x绿头鸭 (杂交),Eastern Spot-billed Duck x Mallard (hybrid)
y01128,Pacific Black Duck/Mallard,Pacific Black Duck/Mallard
y01129,Hawaiian Duck/Mallard,Hawaiian Duck/Mallard
y01130,印缅斑嘴鸭/绿头鸭,Indian Spot-billed Duck/Mallard
y01131,斑嘴鸭/绿头鸭,Eastern Spot-billed Duck/Mallard
mexduc,Mexican Duck,Mexican Duck
mallar4,Mallard x Mexican Duck (hybrid),Mallard x Mexican Duck (hybrid)
mallar,Mallard/Mexican Duck,Mallard/Mexican Duck
ambduc,American Black Duck,American Black Duck
x00941,American Wigeon x American Black Duck (hybrid),American Wigeon x American Black Duck (hybrid)
x00004,Mallard x American Black Duck (hybrid),Mallard x American Black Duck (hybrid)
y00600,Mallard/American Black Duck,Mallard/American Black Duck
motduc,Mottled Duck,Mottled Duck
motduc1,Mottled Duck (Florida),Mottled Duck (Florida)
motduc2,Mottled Duck (Gulf Coast),Mottled Duck (Gulf Coast)
x00422,Mallard x Mottled Duck (hybrid),Mallard x Mottled Duck (hybrid)
y01098,Mallard x Mexican/Mottled Duck (hybrid),Mallard x Mexican/Mottled Duck (hybrid)
x00922,Mexican x Mottled Duck (hybrid),Mexican x Mottled Duck (hybrid)
y00632,Mallard/Mottled Duck,Mallard/Mottled Duck
y01099,Mexican/Mottled Duck,Mexican/Mottled Duck
y00633,American Black/Mottled Duck,American Black/Mottled Duck
captea1,Cape Teal,Cape Teal
whcpin,White-cheeked Pintail,White-cheeked Pintail
whcpin1,White-cheeked Pintail (White-cheeked),White-cheeked Pintail (White-cheeked)
whcpin2,White-cheeked Pintail (Galapagos),White-cheeked Pintail (Galapagos)
x00778,Mallard x White-cheeked Pintail (hybrid),Mallard x White-cheeked Pintail (hybrid)
rebduc1,Red-billed Teal,Red-billed Duck
x01222,Yellow-billed Duck x Red-billed Teal (hybrid),Yellow-billed x Red-billed Duck (hybrid)
x01223,Cape x Red-billed Teal (hybrid),Cape Teal x Red-billed Duck (hybrid)
norpin,针尾鸭,Northern Pintail
x00837,花脸鸭x针尾鸭 (杂交),Baikal Teal x Northern Pintail (hybrid)
x01180,琵嘴鸭x针尾鸭 (杂交),Northern Shoveler x Northern Pintail (hybrid)
x00610,赤膀鸭x针尾鸭 (杂交),Gadwall x Northern Pintail (hybrid)
x00761,赤颈鸭x针尾鸭 (杂交),Eurasian Wigeon x Northern Pintail (hybrid)
x00196,绿眉鸭x针尾鸭 (杂交),American Wigeon x Northern Pintail (hybrid)
x01087,Pacific Black Duck x Northern Pintail (hybrid),Pacific Black Duck x Northern Pintail (hybrid)
x00628,绿头鸭x针尾鸭 (杂交),Mallard x Northern Pintail (hybrid)
x00674,American Black Duck x Northern Pintail (hybrid),American Black Duck x Northern Pintail (hybrid)
eatpin1,Eaton's Pintail,Eaton's Pintail
yebpin1,Yellow-billed Pintail,Yellow-billed Pintail
yebpin2,Yellow-billed Pintail (South Georgia),Yellow-billed Pintail (South Georgia)
yebpin3,Yellow-billed Pintail (South American),Yellow-billed Pintail (South American)
x01150,White-cheeked x Yellow-billed Pintail (hybrid),White-cheeked x Yellow-billed Pintail (hybrid)
gnwtea,绿翅鸭,Green-winged Teal
egwtea1,绿翅鸭 (欧亚),Green-winged Teal (Eurasian)
agwtea1,绿翅鸭 (美洲),Green-winged Teal (American)
gnwtea1,绿翅鸭 (欧亚x美洲，杂交),Green-winged Teal (Eurasian x American)
x00999,花脸鸭x绿翅鸭 (杂交),Baikal x Green-winged Teal (hybrid)
x00371,白眉鸭x绿翅鸭 (杂交),Garganey x Green-winged Teal (hybrid)
x00673,Blue-winged x Green-winged Teal (hybrid),Blue-winged x Green-winged Teal (hybrid)
