SPECIES_CODE,COMMON_NAME_ZH_CN,COMMON_NAME_US
whbwre3,White-bellied Wren (Middle American),White-bellied Wren (Middle American)
whbwre4,White-bellied Wren (West Mexico),White-bellied Wren (West Mexico)
wbwwre1,White-breasted Wood Wren,White-breasted Wood-Wren
whbwow1,White-breasted Wood Wren (Sclater's),White-breasted Wood-Wren (Sclater's)
whbwow2,White-breasted Wood Wren (Cherrie's),White-breasted Wood-Wren (Cherrie's)
whbwow4,White-breasted Wood Wren (Choco),White-breasted Wood-Wren (Choco)
whbwow3,White-breasted Wood Wren (Black-capped),White-breasted Wood-Wren (Black-capped)
bwwwre1,Bar-winged Wood Wren,Bar-winged Wood-Wren
gbwwre1,Grey-breasted Wood Wren,Gray-breasted Wood-Wren
gybwow1,Grey-breasted Wood Wren (Central American),Gray-breasted Wood-Wren (Central American)
gybwow2,Grey-breasted Wood Wren (Choco),Gray-breasted Wood-Wren (Choco)
gybwow4,Grey-breasted Wood Wren (bangsi),Gray-breasted Wood-Wren (bangsi)
gybwow5,Grey-breasted Wood Wren (Perija),Gray-breasted Wood-Wren (Perija)
gybwow6,Grey-breasted Wood Wren (meridana),Gray-breasted Wood-Wren (meridana)
gybwow7,Grey-breasted Wood Wren (venezuelensis),Gray-breasted Wood-Wren (venezuelensis)
gybwow9,Grey-breasted Wood Wren (hilaris),Gray-breasted Wood-Wren (hilaris)
gybwow8,Grey-breasted Wood Wren (Andean),Gray-breasted Wood-Wren (Andean)
gybwow3,Hermit Wood Wren,Hermit Wood-Wren
munwow1,Munchique Wood Wren,Munchique Wood-Wren
woodwr1,wood wren sp.,wood-wren sp.
chbwre2,Northern Chestnut-breasted Wren,Northern Chestnut-breasted Wren
chbwre3,Southern Chestnut-breasted Wren,Southern Chestnut-breasted Wren
sonwre1,Song Wren,Song Wren
muswre2,Musician Wren,Musician Wren
muswre1,Musician Wren (Imeri),Musician Wren (Imeri)
muswre3,Musician Wren (Grey-eared),Musician Wren (Gray-eared)
muswre4,Musician Wren (Musician),Musician Wren (Musician)
muswre5,Musician Wren (Grey-flanked),Musician Wren (Gray-flanked)
muswre6,Musician Wren (Rondonia),Musician Wren (Rondonia)
muswre7,Musician Wren (Ferruginous),Musician Wren (Ferruginous)
wren1,wren sp.,wren sp.
spwbab1,丽星鹩鹛,Spotted Elachura
whtdip1,河乌,White-throated Dipper
brodip1,褐河乌,Brown Dipper
amedip,American Dipper,American Dipper
amedip1,American Dipper (Northern),American Dipper (Northern)
amedip2,American Dipper (Costa Rican),American Dipper (Costa Rican)
whcdip1,White-capped Dipper,White-capped Dipper
whcdip2,White-capped Dipper (Santa Marta),White-capped Dipper (Santa Marta)
whcdip3,White-capped Dipper (White-bellied),White-capped Dipper (White-bellied)
whcdip4,White-capped Dipper (White-capped),White-capped Dipper (White-capped)
rutdip1,Rufous-throated Dipper,Rufous-throated Dipper
reboxp1,Red-billed Oxpecker,Red-billed Oxpecker
yeboxp1,Yellow-billed Oxpecker,Yellow-billed Oxpecker
